pid,occupation,exposure,female,age,master,stem,tier1,months_grad,employed,parent_edu,internship,income,retained,phcd1,phcd2,phcd3,phcd4,anx1,anx2,anx3,anx4,lit1,lit2,lit3,lit4,sup1,sup2,sup3,sup4,adp1,adp2,adp3,adp4,avd1,avd2,avd3,mkr1,mkr2,mkr3,reskill_hours
134,Human resources,0.62,1,23,0,1,0,21,1,1,1,12000.0,1,3,4,3,4,6,6,4,5,3,5,3,4,3,4,4,3,3.0,3.0,5.0,2.0,3.0,4.0,3.0,3,3,6,20.0
135,Construction site management,0.22,0,25,1,1,1,6,1,0,1,6700.0,1,3,2,4,4,1,3,4,3,5,7,6,6,7,6,5,6,3.0,2.0,4.0,4.0,4.0,2.0,4.0,3,3,3,11.0
136,"Content, media and communication",0.76,1,24,0,0,0,19,1,1,1,5900.0,1,5,6,5,4,4,2,4,4,5,3,4,3,5,4,4,5,3.0,5.0,4.0,5.0,3.0,3.0,4.0,7,6,5,21.0
137,"Banking, securities and finance",0.71,1,24,0,0,0,8,1,0,0,4600.0,1,4,4,5,3,4,3,4,5,1,3,3,4,3,6,4,3,3.0,5.0,4.0,2.0,6.0,6.0,5.0,4,4,4,19.0
138,"Content, media and communication",0.76,1,23,0,1,0,19,0,0,1,0.0,1,4,5,4,5,3,4,4,4,4,2,3,1,4,3,2,3,4.0,2.0,2.0,2.0,5.0,6.0,3.0,7,5,5,8.0
139,Sales,0.48,0,24,0,0,1,15,0,0,1,0.0,1,2,5,3,3,3,2,1,3,4,4,4,4,2,4,3,5,4.0,5.0,4.0,5.0,4.0,3.0,3.0,2,4,3,54.0
140,Human resources,0.62,0,23,0,1,0,4,1,0,1,6800.0,1,5,3,4,5,5,5,6,6,7,7,6,7,2,2,4,1,3.0,5.0,3.0,3.0,3.0,2.0,3.0,3,4,4,14.0
141,Sales,0.48,0,22,0,0,1,36,1,0,0,9000.0,1,5,2,5,5,4,3,4,2,4,3,4,2,5,4,6,4,3.0,5.0,4.0,4.0,6.0,3.0,5.0,2,2,4,15.0
142,"Content, media and communication",0.76,1,21,0,0,1,32,1,0,1,10300.0,1,4,3,4,4,5,5,5,4,6,6,5,4,3,7,5,6,5.0,3.0,4.0,4.0,6.0,5.0,5.0,3,3,3,30.0
143,Education and training,0.55,1,24,0,0,0,12,1,0,1,7400.0,1,3,1,4,4,3,2,4,5,2,3,4,3,6,3,5,4,6.0,5.0,6.0,5.0,3.0,4.0,5.0,4,3,4,38.0
144,Manufacturing operations,0.3,1,21,0,1,0,8,0,1,0,0.0,1,2,1,1,1,1,2,1,1,5,5,4,6,2,2,2,2,3.0,2.0,1.0,4.0,3.0,3.0,4.0,1,3,2,3.0
145,Sales,0.48,0,24,1,0,0,21,1,1,1,3500.0,1,5,3,3,6,4,4,6,4,5,4,5,5,5,3,6,4,5.0,3.0,3.0,4.0,6.0,4.0,4.0,6,6,3,28.0
146,Research and development,0.58,1,24,1,1,1,30,1,0,1,4200.0,1,2,3,1,1,2,4,3,4,4,4,5,4,5,6,5,4,5.0,5.0,5.0,6.0,3.0,4.0,4.0,4,6,3,23.0
147,Sales,0.48,0,22,0,0,0,27,1,0,1,7800.0,1,1,3,2,1,2,2,2,3,2,2,1,3,4,3,2,2,3.0,1.0,1.0,1.0,3.0,3.0,3.0,5,4,5,17.0
148,Sales,0.48,1,25,0,0,1,33,1,0,0,5100.0,1,4,5,4,5,4,6,5,6,7,6,5,6,4,4,4,4,2.0,3.0,4.0,4.0,3.0,4.0,5.0,5,4,4,29.0
149,Software and IT services,0.86,1,27,1,0,0,32,1,1,0,6000.0,1,7,7,7,5,6,6,5,6,2,3,2,3,4,3,2,2,3.0,2.0,3.0,1.0,7.0,5.0,7.0,4,4,3,6.0
150,Hospitality and retail,0.25,0,28,1,1,0,3,1,0,0,5100.0,0,2,2,2,2,2,3,3,3,5,5,3,3,4,5,4,4,,,,,,,,1,1,2,
151,Education and training,0.55,0,28,1,0,0,34,0,1,1,0.0,1,4,4,4,6,2,2,4,3,4,5,4,5,2,3,3,3,4.0,5.0,4.0,5.0,3.0,3.0,5.0,3,4,5,50.0
152,Sales,0.48,0,23,0,0,1,19,1,0,0,7100.0,1,3,3,4,3,3,4,5,4,5,4,4,4,4,3,3,5,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3,5,3,24.0
153,"Content, media and communication",0.76,1,24,1,0,0,30,0,0,1,0.0,0,3,3,3,3,3,3,5,4,6,5,5,5,4,5,4,4,,,,,,,,3,2,2,
154,Accounting and audit,0.82,1,25,0,1,1,14,0,0,1,0.0,0,4,2,5,4,4,5,5,5,4,2,2,3,6,7,7,6,,,,,,,,5,5,5,
155,"Content, media and communication",0.76,0,24,0,0,0,31,1,0,1,7700.0,1,5,3,3,3,4,2,3,3,5,5,4,5,6,6,5,3,7.0,4.0,3.0,3.0,3.0,3.0,4.0,5,6,6,37.0
156,"Banking, securities and finance",0.71,0,24,0,1,0,28,1,0,1,7300.0,0,7,6,6,6,5,3,4,4,4,3,4,4,7,5,3,4,,,,,,,,2,3,2,
157,Research and development,0.58,0,22,0,0,0,9,1,0,0,7100.0,0,5,4,3,3,5,5,5,4,3,2,3,1,4,2,3,4,,,,,,,,5,7,4,
158,Logistics and supply chain,0.33,1,23,0,0,0,16,1,1,1,4400.0,0,6,4,3,6,5,6,6,3,4,5,5,5,3,2,4,5,,,,,,,,1,5,4,
159,"Banking, securities and finance",0.71,1,22,0,1,0,22,1,0,0,5600.0,0,7,4,6,5,1,1,2,1,3,3,2,2,2,4,4,4,,,,,,,,3,3,5,
160,Mechanical and civil engineering,0.42,0,24,0,0,0,28,1,1,0,10400.0,0,6,4,5,5,1,1,1,1,6,6,6,5,7,7,7,7,,,,,,,,6,4,5,
161,Public sector and institutions,0.5,1,24,0,0,0,21,1,1,0,3600.0,1,3,4,4,5,3,4,6,4,4,4,2,4,4,3,4,4,4.0,4.0,4.0,3.0,1.0,3.0,3.0,1,2,2,23.0
162,Mechanical and civil engineering,0.42,0,25,0,0,1,27,1,0,0,9500.0,1,3,2,2,4,4,4,4,3,2,2,3,2,3,4,6,5,3.0,4.0,1.0,2.0,7.0,7.0,3.0,4,5,4,9.0
163,Human resources,0.62,1,26,1,1,0,14,1,1,1,7100.0,1,5,4,4,5,3,4,3,3,4,4,5,5,6,4,4,5,6.0,4.0,2.0,3.0,2.0,3.0,1.0,4,5,5,37.0
164,Human resources,0.62,1,25,0,1,0,32,1,1,1,7300.0,1,5,5,6,3,3,1,2,3,3,3,3,3,4,4,5,5,1.0,2.0,3.0,2.0,3.0,1.0,1.0,3,4,3,10.0
165,Administrative and clerical,0.74,0,22,0,0,0,15,1,0,0,6700.0,0,5,5,7,5,6,7,6,5,5,4,5,5,2,3,1,4,,,,,,,,5,3,4,
166,"Banking, securities and finance",0.71,1,25,0,1,0,9,1,1,0,4500.0,0,4,3,4,5,4,5,4,5,5,4,4,4,6,5,5,5,,,,,,,,3,3,3,
167,Human resources,0.62,1,22,0,0,1,34,1,0,0,3200.0,1,4,4,3,4,6,5,6,6,3,3,3,3,4,5,5,3,4.0,3.0,3.0,3.0,6.0,5.0,7.0,3,6,5,18.0
168,Healthcare and nursing,0.35,1,24,0,0,0,31,1,1,1,7700.0,1,2,3,2,1,5,3,5,4,5,4,5,3,7,7,4,6,5.0,5.0,7.0,5.0,3.0,3.0,3.0,6,3,3,32.0
169,Education and training,0.55,1,25,0,1,0,4,1,0,1,8600.0,0,6,6,6,6,4,4,4,3,4,4,3,5,3,2,2,3,,,,,,,,5,3,5,
170,Mechanical and civil engineering,0.42,0,21,0,0,0,14,1,0,1,6800.0,1,3,3,2,2,4,4,6,5,7,6,5,6,4,3,4,4,5.0,6.0,5.0,5.0,6.0,4.0,2.0,4,6,4,10.0
171,Design and creative services,0.66,0,24,0,1,0,11,0,0,1,0.0,1,1,3,2,1,3,3,1,2,7,6,6,7,3,5,5,4,4.0,5.0,3.0,6.0,4.0,2.0,3.0,5,4,2,32.0
172,Software and IT services,0.86,1,25,0,1,1,28,1,0,1,2800.0,0,2,4,3,4,3,1,2,1,5,4,3,5,5,4,5,7,,,,,,,,4,6,2,
173,Human resources,0.62,1,23,0,0,1,35,0,1,1,0.0,1,5,6,7,6,4,3,3,4,3,6,6,3,4,5,3,5,4.0,6.0,6.0,5.0,5.0,3.0,6.0,1,1,1,16.0
174,Marketing and e-commerce,0.6,0,23,0,0,1,3,1,1,1,3800.0,1,4,3,3,3,3,4,2,3,4,5,2,4,5,6,4,4,5.0,4.0,5.0,4.0,3.0,4.0,4.0,5,4,4,17.0
175,Marketing and e-commerce,0.6,1,23,0,1,0,32,1,0,0,7100.0,0,5,5,5,5,4,3,4,2,4,2,4,4,5,4,5,6,,,,,,,,3,5,6,
176,Administrative and clerical,0.74,1,23,0,1,0,19,0,0,1,0.0,1,4,1,4,4,5,3,5,4,4,3,3,4,5,4,6,3,4.0,3.0,4.0,4.0,1.0,3.0,4.0,3,2,4,11.0
177,Customer service and operations,0.64,0,25,0,1,0,7,0,0,1,0.0,1,4,4,2,4,3,3,2,3,3,1,5,3,4,3,6,4,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4,3,7,15.0
178,Administrative and clerical,0.74,1,27,1,0,0,28,0,1,0,0.0,1,6,4,4,6,4,5,4,4,4,4,2,4,4,3,5,2,3.0,4.0,5.0,1.0,6.0,5.0,5.0,4,4,3,13.0
179,Administrative and clerical,0.74,0,22,0,0,0,18,1,0,1,6900.0,1,6,7,7,6,4,3,5,6,5,4,4,5,4,3,2,3,2.0,4.0,4.0,2.0,5.0,5.0,6.0,7,5,5,6.0
180,Education and training,0.55,1,21,0,0,0,15,0,0,0,0.0,1,5,6,5,5,4,4,5,4,4,4,4,3,5,5,3,5,5.0,7.0,7.0,6.0,4.0,4.0,5.0,4,4,6,45.0
181,Education and training,0.55,1,24,0,0,0,11,1,0,1,7700.0,1,4,4,3,2,5,3,3,3,4,3,4,5,4,3,3,5,1.0,2.0,4.0,3.0,5.0,1.0,1.0,4,2,2,23.0
182,Research and development,0.58,1,27,1,0,0,31,0,0,1,0.0,1,4,5,4,3,3,3,3,3,3,4,5,4,4,5,4,7,3.0,6.0,3.0,4.0,5.0,5.0,5.0,5,5,2,21.0
183,Public sector and institutions,0.5,1,25,0,1,1,12,1,0,0,8400.0,0,4,3,5,5,3,4,4,5,2,6,4,1,4,5,5,7,,,,,,,,5,6,6,
184,Sales,0.48,1,22,0,0,0,8,1,0,1,6100.0,0,3,3,4,3,5,5,4,5,5,5,6,5,7,5,7,6,,,,,,,,4,4,2,
185,Software and IT services,0.86,1,24,1,0,1,22,1,0,1,9100.0,1,6,3,4,5,6,6,7,4,3,4,4,3,2,3,2,3,5.0,4.0,2.0,3.0,5.0,5.0,6.0,1,1,2,10.0
186,Mechanical and civil engineering,0.42,1,27,1,0,1,33,1,1,1,8400.0,1,3,5,6,4,1,2,2,3,4,4,5,5,5,5,5,5,3.0,4.0,5.0,5.0,4.0,4.0,4.0,4,3,2,10.0
187,Public sector and institutions,0.5,0,22,0,0,0,7,1,1,0,10200.0,0,6,3,4,2,5,5,4,5,4,4,3,3,5,6,7,6,,,,,,,,4,5,5,
188,Marketing and e-commerce,0.6,0,25,1,0,0,15,1,1,0,5300.0,1,2,3,3,3,4,4,1,6,6,7,5,7,6,6,4,5,6.0,6.0,6.0,4.0,5.0,5.0,3.0,5,6,4,28.0
189,Research and development,0.58,0,23,0,0,1,23,1,0,1,4400.0,1,4,4,4,3,3,5,4,5,6,4,4,4,6,6,5,5,6.0,5.0,6.0,6.0,4.0,5.0,6.0,5,4,5,16.0
190,Sales,0.48,1,24,0,0,0,4,1,1,0,7700.0,1,2,3,3,2,3,2,4,2,3,3,3,3,4,4,6,4,4.0,3.0,4.0,3.0,4.0,6.0,4.0,4,7,6,65.0
191,Accounting and audit,0.82,0,25,1,1,0,6,1,0,1,6600.0,1,5,6,4,5,4,3,5,4,4,4,6,5,6,6,6,4,6.0,5.0,5.0,3.0,5.0,5.0,5.0,2,2,2,25.0
192,Hospitality and retail,0.25,1,24,0,0,0,30,1,0,1,5100.0,0,4,3,5,3,2,2,4,2,6,5,5,3,5,3,5,6,,,,,,,,6,4,5,
193,Software and IT services,0.86,0,23,0,0,0,27,1,0,1,7100.0,0,4,4,4,5,4,4,3,3,4,3,5,4,3,4,5,5,,,,,,,,6,5,4,
194,Education and training,0.55,1,22,0,1,1,10,0,0,0,0.0,0,5,5,6,5,7,5,5,5,3,3,1,2,5,4,6,4,,,,,,,,5,5,5,
195,Education and training,0.55,0,22,0,0,1,8,1,0,1,9400.0,1,4,4,3,5,5,4,3,5,5,5,3,5,4,2,3,3,5.0,5.0,4.0,3.0,3.0,4.0,4.0,1,3,1,16.0
196,Sales,0.48,1,23,0,0,0,6,1,1,1,3900.0,1,2,2,2,2,2,3,2,1,1,2,3,2,4,5,4,4,6.0,5.0,5.0,6.0,3.0,3.0,3.0,6,5,4,32.0
197,Public sector and institutions,0.5,0,24,0,1,0,28,1,0,0,4700.0,1,1,2,1,2,3,2,1,2,5,5,6,6,2,4,3,5,3.0,2.0,1.0,2.0,4.0,4.0,4.0,4,3,5,19.0
198,"Content, media and communication",0.76,0,22,0,0,0,26,1,0,1,8400.0,0,7,6,5,6,7,7,7,7,2,1,1,1,1,1,1,1,,,,,,,,4,4,4,
199,Customer service and operations,0.64,0,25,1,0,1,6,1,0,1,4500.0,1,7,5,5,3,4,5,5,6,3,5,5,4,3,2,4,4,3.0,3.0,4.0,4.0,6.0,6.0,6.0,3,5,4,45.0
200,Human resources,0.62,1,24,0,0,0,29,1,0,0,8000.0,0,2,1,1,3,3,5,3,3,4,5,4,4,4,4,4,6,,,,,,,,4,6,7,
201,Logistics and supply chain,0.33,1,25,1,0,1,26,1,0,1,6500.0,1,3,3,3,3,3,1,1,3,4,5,6,3,6,6,6,5,3.0,5.0,3.0,3.0,4.0,1.0,3.0,4,5,3,65.0
202,"Content, media and communication",0.76,0,23,0,1,0,22,0,0,1,0.0,0,5,6,7,6,5,6,5,5,6,4,4,4,4,4,3,2,,,,,,,,5,2,2,
203,Design and creative services,0.66,1,24,0,1,0,23,1,0,0,6900.0,1,4,3,4,1,4,2,3,3,3,4,5,4,6,4,5,5,4.0,5.0,6.0,2.0,1.0,1.0,3.0,2,2,4,26.0
204,"Banking, securities and finance",0.71,1,23,0,0,1,10,1,0,1,5700.0,1,5,4,4,4,3,3,3,3,4,4,5,5,5,4,4,4,3.0,2.0,3.0,5.0,3.0,5.0,5.0,6,5,6,10.0
205,"Banking, securities and finance",0.71,0,24,0,0,1,3,0,1,0,0.0,1,5,6,5,4,5,5,3,4,4,6,5,6,5,4,5,3,5.0,5.0,4.0,3.0,4.0,3.0,2.0,6,6,6,34.0
206,"Banking, securities and finance",0.71,0,22,0,1,0,27,0,0,1,0.0,1,6,6,7,6,3,3,4,2,3,5,5,5,4,4,3,4,4.0,2.0,1.0,3.0,2.0,1.0,1.0,4,5,3,6.0
207,Mechanical and civil engineering,0.42,1,25,0,0,1,15,1,0,0,7900.0,1,4,4,4,3,3,2,2,4,3,1,2,2,1,2,2,1,7.0,7.0,5.0,6.0,3.0,4.0,3.0,1,2,2,62.0
208,"Banking, securities and finance",0.71,1,23,0,0,1,27,0,0,1,0.0,0,4,4,5,4,3,5,4,5,3,2,2,2,3,2,2,3,,,,,,,,5,5,3,
209,Logistics and supply chain,0.33,1,21,0,0,1,14,1,0,1,3400.0,1,3,3,4,2,5,5,6,3,4,4,3,5,7,6,7,7,6.0,6.0,5.0,6.0,5.0,4.0,4.0,3,3,3,63.0
210,Manufacturing operations,0.3,1,23,0,0,0,31,0,0,1,0.0,1,3,4,4,3,2,2,3,3,4,6,5,4,5,5,6,6,1.0,1.0,2.0,2.0,4.0,1.0,2.0,5,4,5,11.0
211,Accounting and audit,0.82,1,21,0,1,1,15,0,1,0,0.0,1,7,7,6,5,3,3,1,2,7,7,6,6,4,6,4,6,5.0,3.0,7.0,6.0,6.0,3.0,1.0,6,6,5,29.0
212,Public sector and institutions,0.5,0,21,0,1,1,35,0,1,0,0.0,1,5,3,5,3,5,4,5,5,5,4,5,4,3,3,3,5,4.0,3.0,5.0,5.0,2.0,2.0,6.0,4,4,5,52.0
213,Construction site management,0.22,0,25,0,1,0,22,1,0,0,7200.0,1,6,4,5,5,5,6,5,6,4,4,4,4,5,5,5,3,5.0,2.0,5.0,3.0,4.0,4.0,4.0,4,4,6,28.0
214,Administrative and clerical,0.74,0,26,1,1,0,27,1,0,1,7200.0,0,5,4,3,3,5,6,6,4,4,2,5,6,4,2,2,3,,,,,,,,5,1,1,
215,Research and development,0.58,0,22,0,0,0,7,1,0,1,3800.0,1,2,3,4,3,1,2,1,1,7,6,7,6,2,4,4,1,4.0,5.0,3.0,2.0,5.0,5.0,5.0,1,1,2,16.0
216,Administrative and clerical,0.74,1,28,1,1,1,9,1,0,1,8700.0,1,3,5,3,2,3,1,3,2,6,5,5,6,3,2,3,3,5.0,5.0,4.0,4.0,4.0,6.0,5.0,1,1,3,9.0
217,Software and IT services,0.86,1,25,0,1,0,19,1,0,1,4100.0,1,5,4,3,4,6,3,5,5,5,5,6,4,5,3,5,5,6.0,6.0,6.0,6.0,3.0,3.0,6.0,3,5,5,26.0
218,Administrative and clerical,0.74,0,25,1,0,1,20,1,0,1,5900.0,1,4,4,4,3,2,4,3,2,5,3,5,5,4,5,3,3,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4,6,5,29.0
219,Research and development,0.58,1,22,0,0,0,34,0,1,1,0.0,0,7,4,4,5,4,5,5,6,4,5,6,5,4,2,2,4,,,,,,,,3,2,3,
220,Accounting and audit,0.82,0,24,0,0,0,14,1,0,0,12000.0,1,4,5,3,3,6,7,6,5,5,4,6,6,3,6,4,4,7.0,5.0,4.0,4.0,3.0,4.0,5.0,1,3,3,50.0
221,Software and IT services,0.86,1,24,0,1,1,23,1,0,1,7400.0,0,5,5,5,5,5,6,4,3,5,6,6,5,3,4,4,5,,,,,,,,4,7,5,
222,Public sector and institutions,0.5,0,23,0,0,1,9,0,0,0,0.0,0,4,3,4,3,1,3,1,1,5,5,6,6,4,2,4,3,,,,,,,,4,3,2,
223,Accounting and audit,0.82,1,25,0,0,0,5,1,0,0,12300.0,1,5,3,5,6,3,5,5,4,5,5,6,3,2,3,2,3,3.0,4.0,4.0,6.0,3.0,3.0,3.0,2,3,3,29.0
224,"Content, media and communication",0.76,1,24,1,0,1,8,0,0,1,0.0,1,3,3,4,4,4,5,5,3,4,4,4,6,1,2,3,1,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5,4,5,71.0
225,Mechanical and civil engineering,0.42,1,22,0,0,0,21,1,0,1,2600.0,1,5,4,5,5,6,7,5,7,3,3,3,3,1,3,1,3,5.0,4.0,3.0,4.0,5.0,5.0,5.0,6,6,5,16.0
226,Administrative and clerical,0.74,0,23,0,0,0,26,1,0,1,2500.0,0,6,7,7,5,5,4,4,4,2,4,4,4,6,3,3,3,,,,,,,,6,3,2,
227,Public sector and institutions,0.5,1,28,1,1,0,8,1,0,1,8600.0,0,3,3,2,3,1,2,3,2,6,4,5,6,5,4,6,4,,,,,,,,5,4,5,
228,Education and training,0.55,1,21,0,0,0,20,1,1,1,3600.0,1,4,4,6,4,3,3,4,4,5,6,5,5,4,3,5,4,5.0,4.0,4.0,5.0,5.0,5.0,3.0,2,2,1,33.0
229,Software and IT services,0.86,0,28,1,0,0,10,1,0,1,7400.0,0,5,3,5,6,6,5,5,6,3,5,5,7,4,6,6,5,,,,,,,,5,5,5,
230,Marketing and e-commerce,0.6,0,23,0,1,1,24,1,0,1,6800.0,1,4,5,3,3,6,6,5,5,3,2,4,4,4,5,4,4,4.0,4.0,3.0,4.0,5.0,7.0,4.0,3,2,4,40.0
231,Marketing and e-commerce,0.6,1,23,0,0,0,20,1,0,0,6000.0,1,3,4,5,4,3,4,4,2,5,5,5,6,7,6,7,6,5.0,5.0,4.0,5.0,4.0,3.0,2.0,4,3,3,21.0
232,Sales,0.48,1,26,1,1,0,26,0,1,0,0.0,1,5,3,3,3,3,2,3,2,5,3,3,3,4,4,4,4,4.0,3.0,2.0,3.0,5.0,4.0,3.0,5,5,5,15.0
233,Marketing and e-commerce,0.6,0,22,0,0,0,27,0,0,0,0.0,0,6,5,3,3,2,6,5,4,2,3,2,2,2,4,4,4,,,,,,,,2,3,4,
234,Administrative and clerical,0.74,1,21,0,1,0,10,1,1,1,3500.0,0,4,6,5,5,6,6,4,7,4,5,5,4,7,7,3,6,,,,,,,,3,1,4,
235,Marketing and e-commerce,0.6,1,22,0,0,0,26,1,0,1,3100.0,1,3,3,3,3,4,3,2,2,1,1,2,1,3,2,2,4,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3,2,4,17.0
236,Manufacturing operations,0.3,1,22,0,0,1,20,0,0,1,0.0,1,4,2,3,4,3,4,4,4,4,3,3,3,3,3,1,3,4.0,5.0,5.0,6.0,4.0,3.0,3.0,5,4,4,18.0
237,Software and IT services,0.86,1,27,1,0,0,5,1,0,1,11600.0,1,3,4,5,4,3,4,6,3,3,3,2,5,5,6,6,5,7.0,5.0,6.0,6.0,3.0,4.0,2.0,3,6,7,101.0
238,Education and training,0.55,1,25,0,1,0,32,1,0,0,3000.0,1,4,6,6,5,5,5,5,7,3,1,2,2,2,2,2,3,2.0,2.0,4.0,2.0,5.0,5.0,6.0,5,6,5,8.0
239,"Content, media and communication",0.76,0,25,1,0,0,17,1,1,1,10100.0,0,3,3,5,5,2,3,3,3,3,3,2,3,5,4,5,3,,,,,,,,6,5,6,
240,Administrative and clerical,0.74,1,22,0,1,1,3,1,0,1,10300.0,1,3,2,3,3,3,2,2,2,4,3,2,5,2,4,3,3,2.0,3.0,2.0,3.0,3.0,4.0,2.0,5,4,5,18.0
241,Administrative and clerical,0.74,0,22,0,1,0,13,1,0,0,7500.0,1,2,4,1,2,1,3,3,3,6,5,5,6,5,5,4,5,5.0,5.0,6.0,6.0,3.0,3.0,4.0,4,6,4,68.0
242,Public sector and institutions,0.5,0,21,0,0,1,28,1,0,0,6400.0,1,3,5,6,4,6,6,4,5,5,3,5,4,5,6,5,5,4.0,4.0,4.0,5.0,5.0,3.0,6.0,2,1,2,20.0
243,"Banking, securities and finance",0.71,0,24,0,0,1,20,0,0,0,0.0,1,5,5,5,7,6,5,5,6,5,5,5,5,2,3,2,3,2.0,3.0,4.0,5.0,2.0,4.0,3.0,5,4,2,10.0
244,Software and IT services,0.86,1,24,0,0,0,15,1,0,1,6800.0,0,6,6,5,7,5,4,6,6,4,5,6,4,3,2,2,3,,,,,,,,4,3,4,
245,Software and IT services,0.86,0,22,0,1,0,9,0,0,1,0.0,1,5,5,6,5,6,5,4,4,4,4,4,5,5,3,7,6,6.0,6.0,5.0,5.0,1.0,4.0,3.0,3,5,5,45.0
246,Public sector and institutions,0.5,1,22,0,0,0,29,1,0,1,4100.0,1,3,4,4,5,4,5,5,5,4,3,3,4,4,6,4,5,3.0,3.0,1.0,5.0,5.0,4.0,2.0,5,2,4,32.0
247,Accounting and audit,0.82,1,24,0,1,0,36,1,0,0,5400.0,1,7,6,5,5,6,6,7,6,4,6,3,3,5,5,4,5,3.0,4.0,4.0,2.0,2.0,2.0,4.0,3,5,1,31.0
248,Human resources,0.62,0,27,1,0,1,19,1,0,1,4300.0,1,5,3,3,1,1,2,1,1,6,7,5,5,4,3,4,2,2.0,3.0,4.0,3.0,3.0,4.0,5.0,5,3,6,21.0
249,Hospitality and retail,0.25,1,25,0,0,0,13,1,0,1,4800.0,1,3,3,3,2,2,3,3,4,7,5,6,5,1,2,3,2,5.0,4.0,2.0,5.0,3.0,5.0,2.0,6,5,3,12.0
250,Accounting and audit,0.82,1,25,1,1,0,36,1,0,0,8500.0,1,5,5,6,7,5,4,4,5,4,4,4,4,5,5,5,6,6.0,6.0,6.0,4.0,2.0,4.0,2.0,5,4,3,17.0
251,Accounting and audit,0.82,0,23,0,0,1,11,1,0,0,8500.0,1,2,3,2,4,1,1,1,1,5,3,4,5,2,1,2,3,1.0,1.0,1.0,2.0,5.0,3.0,4.0,6,5,6,3.0
252,Sales,0.48,1,27,1,0,0,7,1,0,1,10300.0,0,4,4,3,5,6,7,7,6,3,4,3,4,3,2,2,1,,,,,,,,6,5,6,
253,Software and IT services,0.86,1,23,0,1,1,33,1,0,0,6500.0,1,7,6,7,7,6,6,5,6,3,5,4,2,4,6,5,4,4.0,5.0,4.0,4.0,5.0,3.0,4.0,5,5,5,18.0
254,Design and creative services,0.66,1,22,0,0,0,14,1,0,1,8900.0,1,5,4,5,6,5,6,5,4,3,3,3,6,3,4,3,3,3.0,3.0,2.0,1.0,4.0,6.0,4.0,2,4,4,10.0
255,"Banking, securities and finance",0.71,1,23,0,1,0,36,0,1,1,0.0,0,6,2,6,4,5,4,3,3,4,7,5,5,6,6,7,6,,,,,,,,5,4,4,
256,"Content, media and communication",0.76,0,21,0,0,0,21,1,0,1,3000.0,1,5,6,7,3,3,4,3,4,6,5,5,5,4,2,5,5,4.0,4.0,4.0,5.0,7.0,3.0,5.0,7,5,4,46.0
257,Customer service and operations,0.64,1,25,0,1,1,3,1,0,1,7900.0,0,3,5,3,4,4,3,4,5,6,6,7,6,7,7,6,7,,,,,,,,4,4,5,
258,Administrative and clerical,0.74,0,23,0,0,0,23,0,0,1,0.0,0,3,5,2,2,3,3,4,3,4,4,3,2,4,5,2,4,,,,,,,,7,6,2,
259,Education and training,0.55,1,21,0,0,0,31,1,0,1,5600.0,1,3,4,2,4,2,4,3,2,5,4,2,5,3,4,4,4,4.0,4.0,2.0,2.0,4.0,5.0,6.0,3,6,2,17.0
260,"Content, media and communication",0.76,1,25,0,1,0,16,0,0,0,0.0,1,1,1,3,3,5,2,4,4,3,2,3,4,3,2,3,3,4.0,4.0,7.0,4.0,3.0,4.0,5.0,4,5,7,16.0
261,Research and development,0.58,1,22,0,1,0,31,1,1,0,4700.0,1,7,6,6,6,7,6,7,7,6,3,3,4,3,1,2,3,2.0,2.0,2.0,3.0,4.0,7.0,6.0,5,4,3,22.0
262,"Banking, securities and finance",0.71,1,23,0,1,1,10,1,0,1,5500.0,1,3,2,4,4,6,6,6,4,7,6,7,7,3,4,5,5,5.0,7.0,7.0,6.0,1.0,2.0,1.0,4,4,6,48.0
263,Marketing and e-commerce,0.6,1,27,1,0,1,3,1,1,0,6300.0,0,4,5,4,4,4,6,5,6,2,2,3,2,5,5,3,3,,,,,,,,5,4,6,
264,Logistics and supply chain,0.33,0,25,0,1,0,16,1,1,0,4900.0,1,5,3,3,3,4,4,4,4,3,5,2,4,4,5,5,3,4.0,5.0,4.0,6.0,3.0,4.0,4.0,6,5,5,57.0
265,"Content, media and communication",0.76,0,25,0,0,0,4,0,0,0,0.0,0,3,4,2,3,5,4,5,4,5,6,5,6,2,5,2,5,,,,,,,,3,4,2,
266,Administrative and clerical,0.74,0,22,0,0,0,22,0,0,1,0.0,1,6,6,5,5,7,6,5,5,6,5,6,6,1,2,3,2,3.0,4.0,3.0,3.0,5.0,4.0,6.0,4,2,4,15.0
267,Legal services,0.68,1,23,0,1,0,32,1,0,1,10800.0,0,6,2,5,4,3,1,1,3,5,6,6,6,3,4,3,6,,,,,,,,4,6,6,
268,Accounting and audit,0.82,0,21,0,0,1,28,1,1,0,9600.0,0,5,5,5,5,6,7,5,7,2,5,3,5,7,6,6,6,,,,,,,,3,5,3,
269,Customer service and operations,0.64,1,22,0,1,0,32,1,0,0,7200.0,1,2,5,5,2,3,5,4,3,5,4,4,4,4,3,5,5,3.0,2.0,4.0,4.0,4.0,3.0,2.0,4,3,5,16.0
